127.0.0.1 - - [21/Apr/2014:17:09:54 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:09:57 +0300] "GET /Matura/GetAnalizi.jsp HTTP/1.1" 500 2982
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:10:04 +0300] "GET /Matura/ HTTP/1.1" 200 3282
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:10:04 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:10:04 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:10:04 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:10:04 +0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:10:07 +0300] "GET /Matura/Analizi.jsp HTTP/1.1" 200 29695
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:10:09 +0300] "GET /Matura/GetAnalizi.jsp?proizvedenie=Razni%20hora,%20razni%20ideali HTTP/1.1" 200 9863
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:14:41 +0300] "GET /Matura/GetAnalizi.jsp?proizvedenie=Razni%20hora,%20razni%20ideali HTTP/1.1" 200 9864
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:14:41 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:14:41 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:14:41 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:15:11 +0300] "GET /Matura/GetAnalizi.jsp?proizvedenie=Razni%20hora,%20razni%20ideali HTTP/1.1" 200 10249
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:15:11 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:15:11 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:15:11 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:16:09 +0300] "GET /Matura/GetAnalizi.jsp?proizvedenie=Razni%20hora,%20razni%20ideali HTTP/1.1" 200 10243
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:16:09 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:16:09 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:16:09 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:16:28 +0300] "GET /Matura/GetAnalizi.jsp?proizvedenie=Razni%20hora,%20razni%20ideali HTTP/1.1" 200 9838
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:16:28 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:16:28 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:16:28 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:16:54 +0300] "GET /Matura/GetAnalizi.jsp?proizvedenie=Razni%20hora,%20razni%20ideali HTTP/1.1" 200 10243
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:16:54 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:16:54 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:16:54 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:17:02 +0300] "GET /Matura/GetAnalizi.jsp?proizvedenie=Razni%20hora,%20razni%20ideali HTTP/1.1" 200 9851
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:17:02 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:17:02 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:17:02 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:17:32 +0300] "GET /Matura/GetAnalizi.jsp?proizvedenie=Razni%20hora,%20razni%20ideali HTTP/1.1" 200 9868
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:17:32 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2014:17:17:32 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
